celltype_1,celltype_2
NPF_like,pnCAFs
NPF_like,uniCAFs
NPF_like,whCAFs
NPF_like,pSMCs
NPF_like,Pericytes
NPF_like,vSMCs
NPF_like,Glial_cells_1
NPF_like,Glial_cells_2
NPF_like,Glial_cells_3
NPF_like,Myelinating_Schwann
NPF_like,Satellite_cells
pnCAFs,uniCAFs
pnCAFs,whCAFs
pnCAFs,pSMCs
pnCAFs,Pericytes
pnCAFs,vSMCs
pnCAFs,Glial_cells_1
pnCAFs,Glial_cells_2
pnCAFs,Glial_cells_3
pnCAFs,Myelinating_Schwann
pnCAFs,Satellite_cells
uniCAFs,whCAFs
uniCAFs,pSMCs
uniCAFs,Pericytes
uniCAFs,vSMCs
uniCAFs,Glial_cells_1
uniCAFs,Glial_cells_2
uniCAFs,Glial_cells_3
uniCAFs,Myelinating_Schwann
uniCAFs,Satellite_cells
whCAFs,pSMCs
whCAFs,Pericytes
whCAFs,vSMCs
Luminal,Cycling_Epi_Luminal
