celltype_1,celltype_2
NPF_like,whCAFs
NPF_like,uniCAFs
NPF_like,pSMCs
whCAFs,uniCAFs
whCAFs,Glial_cells_1
whCAFs,Glial_cells_2
whCAFs,Glial_cells_3
whCAFs,Satellite_cells
whCAFs,Myelinating_Schwann
pnCAFs,NPF_like
pnCAFs,whCAFs
pnCAFs,uniCAFs
pnCAFs,Glial_cells_1
pnCAFs,Glial_cells_2
pnCAFs,Glial_cells_3
pnCAFs,Satellite_cells
pnCAFs,Myelinating_Schwann
uniCAFs,Glial_cells_1
uniCAFs,Glial_cells_2
uniCAFs,Glial_cells_3
uniCAFs,Satellite_cells
uniCAFs,Myelinating_Schwann
whCAFs,pSMCs
whCAFs,vSMCs
whCAFs,Pericytes
uniCAFs,pSMCs
uniCAFs,vSMCs
uniCAFs,Pericytes
pnCAFs,pSMCs
pnCAFs,vSMCs
pnCAFs,Pericytes
Luminal,NPF_like
Luminal,whCAFs
Luminal,uniCAFs
Luminal,pnCAFs
Luminal,NE
Luminal,Cycling_Epi_Luminal
vSMCs,Pericytes
Pericytes,ECs_Venous_s1
vSMCs,ECs_Venous_s1
Pericytes,ECs_Venous_s2
vSMCs,ECs_Venous_s2
Pericytes,ECs_Lymphatic
vSMCs,ECs_Lymphatic
Pericytes,ECs_Arterial
vSMCs,ECs_Arterial
